Name,Address1,Address2,Time_Distane
Starbucks,"John F. Kennedy International Airport, JFK Access Rd, Queens, NY 11430, United States",Floor 3 · John F. Kennedy International Airport, Mode of Transport: Walking Distance: 0.97KM Time:13 min
Starbucks,"HMS Host - Terminal one JFK Airport Buil, Central Terminal Area, Jamaica, NY 11430, United States",Floor 3 · John F. Kennedy International Airport, Mode of Transport: Walking Distance: 456 ft Time:2 min Mode of Transport: Driving Distance: 2.25KM Time:4 min
Starbucks,"51 W. Courtyard, NY 11430, United States",Floor 3 · John F. Kennedy International Airport, Mode of Transport: Walking Distance: 167 ft Time:1 min Mode of Transport: Driving Distance: 1.77KM Time:3 min
Starbucks,"John F. Kennedy International Airport, JFK Terminal 8, Concourse C, Queens, NY 11430, United States",, Mode of Transport: Walking Distance: 361 ft Time:2 min Mode of Transport: Driving Distance: 1.77KM Time:3 min
Starbucks,"JFK Access Rd, Queens, NY 11430, United States",, Mode of Transport: Walking Distance: 121 ft Time:1 min
